間,while; during; between
間に,while/during~ something happened
あまり～ない,"not very; not much"
後で,after ~; later
ば,conditional form; If [A] then [B]
場合は,in the event of; in the case that
ばかり,only; nothing but
だけで,just by; just by doing
出す,to suddenly begin; to suddenly appear
でございます,to be (honorific)
でも,... or something
ではないか,right?; isn't it?
が必要,need; necessary
がする,to smell; hear; taste
がり,personality; tend to~; sensitivity towards~
がる・がっている,to show signs of; to appear; to feel
ございます,"to be; to exist (polite form of いる/ある)"
始める,to start; to begin to ~
はずだ,it must be; it should be (expectation)
はずがない,cannot be (impossible)
必要がある,need to; it is necessary to
意向形,volitional form; let's do ~
いらっしゃる,to be; to come; to go (polite version)
いたします,to do (polite form of する)
じゃないか,right? isn't it? let's~; confirmation
かどうか,whether or not
かしら,I wonder
かい,turns a sentence into a yes/no question
かもしれない,might; perhaps; indicates possibility
かな,I wonder; should I?
から作る,made from; made with
きっと,surely; undoubtedly; certainly; likely
頃,around; about; when
こと,Verb nominalizer
ことがある,there are times when
ことができる,can; able to
ことになる,It has been decided that..; it turns out ~
ことにする,to decide on
くする,to make something ~
急に,suddenly
までに,by; by the time; indicates time limit
まま,as it is; current state; without changing
または,both; or; otherwise; choice of [A] or [B]
みたいだ,"like; similar to; resembling"
みたいな,"like; similar to"
みたいに,"like; similar to"
も,as many as; as much as; up to; nearly
な,don’t ~ (order somebody to not do ~)
など,"such as; things like"
ながら,while; during; as; simultaneously
なかなか～ない,not easy to; struggling to; not able to~
なければいけない,must do something; have to do something
なければならない,must do something; have to do something
なら,if; in the case that ~
なさい,do this (soft/firm command)
なさる,to do (honorific)
に気がつく,to notice; to realize
にみえる,to look; to seem; to appear
にする,to make something ~
にくい,difficult to do
の中で,"in; among"
のに,"although; in spite of; even though"
のに,to (do something); in order to
のは〜だ,[A] is [B]; the reason for [A] is [B]
お～ください,please do (honorific)
お～になる,to do (honorific)
おきに,"repeated at intervals; every"
終わる,to finish; to end
られる,potential form; ability/inability to do ~
らしい,it seems like; I heard; apparently~
さ,-ness ; nominalizer for adjective
さっき,some time ago; just now
させられる,causative-passive; to be made to do ~
させる,causative form; to make/let somebody do
させてください,please let me do
さすが,as one would expect; as is to be expected
し,and; and what’s more; emphasis
そんなに,so much; so; like that
それでも,but still; and yet; even so
そうだ,I heard that; it is said that
そうだ,looks like; appears like
そうに・そうな,seems like; looks like
たばかり,just finished; something just occurred
たところ,"just finished doing, was just doing"
他動詞 & 自動詞,Transitive & Intransitive Verbs
たがる,wants to do~ (third person)
たら,"if, after, when"
たらどう,why don't you
たらいいですか,what should I do?; seeking instruction
て / で,"conjunctive; so; because of [A]; [B]..."
てあげる,to do for; to do a favor
てほしい,I want you to; need you to~
ていく,to start; to continue; to go on
ていた,was doing something (past continuous)
ていただけませんか,could you please
てくれる,to do a favor; do something for someone
てくる,to do… and come back; to continue
てみる,try doing
てもらう,to get somebody to do something
ておく,to do something in advance
てしまう / ちゃう,"to do something by accident; to finish"
てすみません,I’m sorry for
てやる,to do for; to do a favor (casual)
てよかった,I’m glad that..
ているところ,in the process of doing
ても,even; even if; even though
と,"whenever [A] happens, [B] also happens"
と言ってもいい,you could say; one might say; I'd say
という,called; named; that
ということ,convert phrase into noun
と言われている,it is said that...
と聞いた,I heard...
と思う,to think…; I think…; you think…
とか～とか,among other things; such as; like
ところ,just about to; on the verge of doing ~
続ける,continue to; keen on
って,named; called
受身形,passive form; passive voice
は〜が… は,[A] but [B]; however; comparison
やすい,easy to; likely to; prone to; a tendency to~
やっと,at last; finally; barely; narrowly
より,than; rather than; more than
予定だ,"plan to; intend to"
ようだ,appears; seems; looks as if
ように / ような,like; as; similar to
ようになる,to reach the point that; to turn into
ようにする,to try to; to make sure that
ようと思う,thinking of doing; planning to
ぜひ,by all means; certainly; definitely
全然～ない,(not) at all
づらい,difficult to do
