あう,会う,"[Godan verb with u ending, intransitive verb] 1. to meet; to encounter; to see {逢う is often used for close friends, etc. and may be associated with drama or pathos; 遭う may have an undesirable nuance} 2. to have an accident; to have a bad experience {Usually written using kana alone, esp. 遭う when in kanji} | Other forms: 逢う 【あう】、遭う 【あう】、遇う 【あう】"
あお,青,"[Noun, No-adjective, Na-adjective] 1. blue 2. green [Noun] 3. green light {Abbreviation, See also 青信号} 4. black (horse coat color) {See also 青毛} [Prefix] 5. immature; unripe; young | Other forms: 蒼 【あお】、碧 【あお】"
あおい,青い,"[I-adjective] 1. blue; green 2. pale {Only applies to 青い, Only applies to 蒼い} 3. unripe; inexperienced {Only applies to 青い, Only applies to 蒼い} | Other forms: 蒼い 【あおい】、碧い 【あおい】 [Notes] 碧い: Out-dated kanji."
あか,赤,"[Noun] 1. red; crimson; scarlet 2. red-containing colour (e.g. brown, pink, orange) 3. Red (i.e. communist) {Colloquialism, often written as アカ} 4. red light {Abbreviation, See also 赤信号} 5. red ink (i.e. in finance or proof-reading); (in) the red {Abbreviation, See also 赤字, See also 赤字} [No-adjective, Noun - used as a prefix] 6. complete; total; perfect; obvious {See also 赤の他人} [Noun] 7. copper {Only applies to 赤, See also 銅 どう} [Place] 8. Aka | Other forms: 紅 【あか】、朱 【あか】、緋 【あか】 [Notes] 緋: Out-dated kanji."
あかい,赤い,[I-adjective] 1. red 2. Red (i.e. communist) | Other forms: 紅い 【あかい】、朱い 【あかい】、緋い 【あかい】、丹い 【あかい】、赭い 【あかい】 [Notes] 朱い: Out-dated kanji. 緋い: Out-dated kanji. 丹い: Out-dated kanji. 赭い: Out-dated kanji.
あかるい,明るい,[I-adjective] 1. bright; colourful 2. cheerful 3. familiar (with); knowledgeable (about) {as 〜に明るい} 4. fair (e.g. politics); clean | Other forms: 明い 【あかるい】 [Notes] 明い: Irregular okurigana usage.
あき,秋,[Temporal noun] 1. autumn; fall
あく,開く,"[Godan verb with ku ending, intransitive verb] 1. to open (e.g. doors) {esp. 開く} 2. to open (e.g. business, etc.) {esp. 開く} 3. to be empty {esp. 空く} 4. to be vacant; to be available; to be free {esp. 空く} 5. to be open (e.g. neckline, etc.) {esp. 明く} 6. to have been opened (of one's eyes, mouth, etc.) {esp. 明く} 7. to come to an end {esp. 明く} [Godan verb with ku ending, Transitive verb] 8. to open (one's eyes, mouth, etc.) {esp. 明く} [Godan verb with ku ending, intransitive verb] 9. to have a hole; to form a gap; to have an interval (between events) {See also 穴が開く} | Other forms: 空く 【あく】、明く 【あく】 [Notes] あく: ichi1, spec 1. 開く: spec 1. あく: ichi1, spec 1. 空く: ichi 1. あく: ichi1, spec1."
あける,開ける,"[Ichidan verb, Transitive verb] 1. to open (a door, etc.); to unwrap (e.g. parcel, package); to unlock {Only applies to 開ける} 2. to open (for business, etc.) {Only applies to 開ける} 3. to empty; to remove; to make space; to make room {esp. 空ける} 4. to move out; to clear out {esp. 空ける} 5. to be away from (e.g. one's house); to leave (temporarily) {esp. 空ける} [Ichidan verb, intransitive verb] 6. to dawn; to grow light {esp. 明ける} 7. to end (of a period, season) {esp. 明ける} 8. to begin (of the New Year) {esp. 明ける} 9. to leave (one's schedule) open; to make time (for) {esp. 明ける} 10. to make (a hole); to open up (a hole) | Other forms: 空ける 【あける】、明ける 【あける】"
あげる,上げる,"[Ichidan verb, Transitive verb] 1. to raise; to elevate {See also 手を挙げる} 2. to do up (one's hair) {See also 髪を上げる} 3. to fly (a kite, etc.); to launch (fireworks, etc.); to surface (a submarine, etc.) 4. to land (a boat) 5. to deep-fry {Only applies to 揚げる} 6. to show someone (into a room) 7. to summon (for geishas, etc.) {Usually written using kana alone, Only applies to 揚げる} 8. to send someone (away) 9. to enrol (one's child in school); to enroll 10. to increase (price, quality, status, etc.); to develop (talent, skill); to improve 11. to make (a loud sound); to raise (one's voice) {See also 声を上げる} 12. to earn (something desirable) 13. to praise 14. to give (an example, etc.); to cite {usu. 挙げる} 15. to summon up (all of one's energy, etc.) {usu. 挙げる} 16. to arrest {Only applies to 挙げる} 17. to nominate {Only applies to 挙げる} 18. to give {Polite (teineigo)} 19. to offer up (incense, a prayer, etc.) to the gods (or Buddha, etc.) 20. to bear (a child) 21. to conduct (a ceremony, esp. a wedding) {usu. 挙げる} [Ichidan verb, intransitive verb] 22. (of the tide) to come in [Ichidan verb, intransitive verb, Transitive verb] 23. to vomit [Auxiliary verb, Ichidan verb] 24. to do for (the sake of someone else) {Usually written using kana alone, Polite (teineigo), after the -te form of a verb} 25. to complete ... {See also 作り上げる, after the -masu stem of a verb} 26. to humbly do ... {Humble (kenjougo), See also 申し上げる, after the -masu stem of a humble verb to increase the level of humility} | Other forms: 挙げる 【あげる】、揚げる 【あげる】"
あさ,朝,"[Adverbial noun, Temporal noun] 1. morning | Other forms: 朝 【あした】"
あさごはん,朝ご飯,[Noun] 1. breakfast | Other forms: 朝御飯 【あさごはん】、朝ごはん 【あさごはん】
あさって,明後日,"[Adverbial noun, Temporal noun] 1. day after tomorrow | Other forms: 明後日 【みょうごにち】"
あし,足,"[Noun] 1. foot {esp. 足} 2. leg {esp. 脚,肢} 3. gait 4. pace 5. bottom structural component (i.e. radical) of a kanji {usu. 脚} 6. means of transportation {Only applies to 足} 7. money; coin {Archaism, See also お足} | Other forms: 脚 【あし】、肢 【あし】"
あした,明日,[Temporal noun] 1. tomorrow 2. near future {Only applies to あす} | Other forms: 明日 【あす】、明日 【みょうにち】
あそこ,あそこ,"[Pronoun, No-adjective] 1. there (place physically distant from both speaker and listener); over there; that place; yonder {Usually written using kana alone, See also 何処, See also 此処, See also 其処} [Noun] 2. genitals {Colloquialism, Only applies to あそこ, Only applies to あすこ} 3. that far (something psychologically distant from both speaker and listener); that much; that point {See also あれほど} | Other forms: 彼処 【あすこ】、彼処 【かしこ】、彼処 【あしこ】、彼処 【あこ】、彼所 【あそこ】、彼所 【あすこ】、彼所 【かしこ】、彼所 【あしこ】、彼所 【あこ】 [Notes] あしこ: Out-dated or obsolete kana usage. あこ: Out-dated or obsolete kana usage. あしこ: Out-dated or obsolete kana usage. あこ: Out-dated or obsolete kana usage."
あそぶ,遊ぶ,"[Godan verb with bu ending, intransitive verb] 1. to play; to enjoy oneself; to have a good time 2. to mess about (with alcohol, gambling, philandery, etc.) 3. to be idle; to do nothing; to be unused 4. to go to (for pleasure or for study) {as 〜に遊ぶ} 5. to intentionally throw a ball to lower the batter's concentration {Baseball term} | Other forms: 遊ぶ 【あすぶ】 [Notes] あすぶ: Out-dated or obsolete kana usage."
あたたかい,暖かい,"[I-adjective] 1. warm; mild; genial {暖かい, 暖い usu. refer to air temperature} | Other forms: 暖かい 【あったかい】、温かい 【あたたかい】、温かい 【あったかい】、暖い 【あたたかい】、暖い 【あったかい】 [Notes] 暖い: Irregular okurigana usage. 暖い: Irregular okurigana usage."
あたま,頭,[Noun] 1. head 2. hair (on one's head) 3. mind; brains; intellect {Only applies to あたま} 4. leader; chief; boss; captain 5. top; tip 6. beginning; start 7. head; person {Only applies to あたま} 8. top structural component of a kanji {Only applies to かしら} | Other forms: 頭 【かしら】
あたらしい,新しい,[I-adjective] 1. new; novel; fresh; recent; latest; up-to-date; modern | Other forms: 新らしい 【あたらしい】 [Notes] 新らしい: Irregular okurigana usage.
あちら,あちら,"[Pronoun, No-adjective] 1. that way (direction distant from both speaker and listener); over there; yonder {Usually written using kana alone, See also 何方 どちら, See also 此方 こちら, See also 其方} 2. that one (something physically distant from both speaker and listener, or something not visible but known by both speaker and listener); that [Pronoun] 3. that person (someone physically distant from both speaker and listener, or someone not present but known by both speaker and listener) {あちら is pol.} 4. there (place distant from both speaker and listener); over there; foreign country (esp. a Western nation) | Other forms: 彼方 【あっち】、彼方 【あち】 [Notes] あち: Out-dated or obsolete kana usage."
あつい,厚い,[I-adjective] 1. thick; deep; heavy {Only applies to 厚い} 2. kind; cordial; hospitable; warm; faithful 3. serious (of an illness) {Only applies to 篤い} 4. abundant {Only applies to 厚い} | Other forms: 篤い 【あつい】
あつい,暑い,"[I-adjective] 1. hot (weather, etc.); warm {Antonym: 寒い}"
あつい,熱い,"[I-adjective] 1. hot (thing) {Antonym: 冷たい} 2. passionate (feelings, etc.); ardent; hot (e.g. gaze) {Antonym: 冷たい} 3. hot (e.g. temper) 4. zealous; enthusiastic; fired up 5. intense; severe; extreme 6. hot (topic); of interest"
あと,後,"[Noun, No-adjective] 1. behind; rear {See also 後ずさり} 2. after; later {See also その後} 3. after one's death 4. remainder; the rest 5. descendant; successor; heir [Adverbial noun] 6. more (e.g. five more minutes); left 7. also; in addition [Noun, No-adjective] 8. past; previous {Archaism}"
あなた,あなた,"[Pronoun, No-adjective] 1. you (referring to someone of equal or lower status) {Usually written using kana alone, Polite (teineigo), 貴女 refers only to females and 貴男 refers only to males} 2. dear (what a wife calls a husband) {Only applies to 貴方, Only applies to 貴男} | Other forms: 貴女 【あなた】、貴男 【あなた】"
あに,兄,[Noun] 1. elder brother; older brother {Humble (kenjougo)}
あね,姉,[Noun] 1. older sister; elder sister {Humble (kenjougo)} [Place] 2. Ane | Other forms: 姐 【あね】
あのう,あのう,1. say; well; errr ... | Other forms: あの、あのー
アパート,アパート,"[Noun] 1. apartment building; apartment block; apartment house {Abbreviation, See also アパートメントハウス} 2. apartment {Abbreviation, See also アパートメント}"
あびる,浴びる,"[Ichidan verb, Transitive verb] 1. to dash over oneself (e.g. water); to take (e.g. shower); to bask in (e.g. the sun); to bathe in; to be flooded with (e.g. light); to be covered in 2. to suffer (e.g. an attack); to draw (e.g. criticism, attention, praise); to have heaped upon; to be showered with"
あぶない,危ない,[I-adjective] 1. dangerous; risky; hazardous; perilous; precarious 2. in danger; in jeopardy; critical; grave; at risk 3. uncertain; unreliable; insecure; unsteady; doubtful 4. close (i.e. a close call); narrow 5. look out!; watch out!
あまい,甘い,[I-adjective] 1. sweet-tasting; sweet; sugary; sugared 2. fragrant (smelling); sweet (music) 3. lightly salted; light in salt; not spicy 4. naive; overly optimistic; soft on; generous; indulgent; easy-going; lenient {See also 甘く見る} 5. half-hearted; not finished properly 6. insufficient; not satisfactory; inadequate; loose 7. mild 8. tempting; enticing; luring {See also 甘い言葉}
あまり,あまり,"[Na-adjective, Adverb, No-adjective, Noun, Noun - used as a suffix] 1. remainder; rest; balance; remains; scraps; residue; remnant {Usually written using kana alone} [Adverb] 2. not very (with negative sentence); not much {Usually written using kana alone} [Adverb, No-adjective] 3. surplus; excess; fullness; too much {Usually written using kana alone, See also の余り のあまり} [Noun - used as a suffix] 4. more than; over | Other forms: 余り 【あんまり】、餘り 【あまり】、餘り 【あんまり】 [Notes] 餘り: Out-dated kanji. 餘り: Out-dated kanji."
あめ,雨,[Noun] 1. rain
あめ,飴,"[Noun] 1. (hard) candy; toffee {Food term} 2. rice-sugar; sugar made from the starch of rice, potatoes, etc. {Food term} 3. amber; yellowish-brown {Abbreviation, See also 飴色}"
あらう,洗う,"[Godan verb with u ending, Transitive verb] 1. to wash 2. to investigate"
ある,ある,"Godan verb with ru ending (irregular verb), intransitive verb 1. to be (usu. of inanimate objects); to exist; to live {Usually written using kana alone, See also 居る いる} 2. to have {Usually written using kana alone} 3. to be located {Usually written using kana alone} 4. to be equipped with {Usually written using kana alone} 5. to happen; to come about {Usually written using kana alone} | Other forms: 在る 【ある】"
あるく,歩く,"[Godan verb with ku ending, intransitive verb] 1. to walk"
