あの...,um...
今,now
英語,English (language)
ええ,yes
学生,student
〜語,language
高校,high school
午後,P.M.
午前,A.M.
〜歳,...years old
〜さん,Mr. / Ms. ...
〜時,o'clock
〜人,... people
専攻,major
先生,teacher
そうです,That's right
そうですか,I see. ; Is that so?
大学,college; university
電話,telephone
友達,friend
名前,name
何,what
日本,Japan
〜年生,... year student
はい,yes
半,half
番号,number
留学生,international student
私,I
アメリカ,America
イギリス,Britain
オーストラリア,Australia
韓国,Korea
スウェーデン,Sweden
中国,China
科学,science
アジア研究,Asian studies
経済,economics
国際関係,international relations
人類学,anthropology
政治,politics
ビジネス,business
文学,literature
歴史,history
仕事,job; work; occupation
医者,doctor
会社員,office worker
高校生,high school student
主婦,housewife
大学院生,graduate student
大学生,college student
弁護士,lawyer
お母さん,mother
お父さん,father
お姉さん,older sister
お兄さん,older brother
妹,younger sister
弟,younger brother
コンピューター,computer
工学,Engineering
生物学,Biology
看護師,nurse
家族,family
これ,this one
それ,that one
あれ,that one (over there)
どれ,which one
この,this ...
その,that ...
あの,that ... (over there)
どの,which ...
ここ,here
そこ,there
あそこ,over there
どこ,where
誰,who
美味しい,delicious
魚,fish
とんかつ,pork cutlet
肉,meat
メニュー,menu
野菜,vegetable
鉛筆,pencil
傘,umbrella
鞄,bag
靴,shoes
財布,wallet
ジーンズ,jeans
辞書,dictionary
自転車,bicycle
新聞,newspaper
Tシャツ,T-shirt
時計,watch; clock
ノート,notebook
ペン,pen
帽子,hat; cap
本,book
いくら,how much
〜円,... yen
高い,expensive; high
いらっしゃいませ,Welcome (to our store)
(〜を)お願いします,..., please
(〜を)ください,Please give me ...
じゃあ,then ...; if that is the case, ...
どうぞ,Please.; Here it is.
どうも,Thank you.
銀行,bank
図書館,library
郵便局,post office
映画,movie
音楽,music
雑誌,magazine
スポーツ,sports
デート,date (romantic, not calendar)
テニス,tennis
テレビ,TV
アイスクリーム,ice cream
朝ご飯,breakfast
お酒,sake; alcohol
お茶,green tea
コーヒー,coffee
晩ご飯,dinner
ハンバーガー,hamburger
昼ご飯,lunch
水,water
家,home; house
うち,home; house; my place
学校,school
朝,morning
明日,tomorrow
いつ,when
今日,today
〜頃,at about ...
今晩,tonight
週末,weekend
土曜日,Saturday
日曜日,Sunday
毎日,every day
毎晩,every night
行く,to go
帰る,to go back; to return
聞く,to listen; to hear
飲む,to drink
話す,to speak; to talk
読む,to read
起きる,to get up
食べる,to eat
寝る,to sleep; to go to sleep
見る,to see; to look at; to watch
来る,to come
する,to do; to decide on (an item); to wear small items (necktie, watch, etc.)
勉強する,to study
良い,good
早い,early
あまり+negative,not much
全然+negative,not at all
大抵,usually
ちょっと,a little
時々,sometimes
よく,often; much
そうですね,That's right; Let me see.
でも,but
どうですか,How about ...?; How is ...?
part time job,アルバイト
shopping,買い物
class,クラス
you,あなた
chair,椅子
dog,犬
souvenir,お土産
child,子供
rice; meal,ご飯
picture; photograph,写真
desk,机
letter,手紙
cat,猫
bread,パン
person,人
e-mail,メール
temple,お寺
park,公園
supermarket,スーパー
department store,デパート
bus stop,バス停
hospital,病院
hotel,ホテル
bookstore,本屋
town; city,町
yesterday,昨日
... hours,〜時間
one hour,一時間
last week,先週
when ...; at the time of ...,時
Monday,月曜日
Tuesday,火曜日
Wednesday,水曜日
Thursday,木曜日
Friday,金曜日
to meet; to see (a person),会う
there is ...,ある
to buy,買う
to write,書く
to take (a picture),撮る
to wait,待つ
to understand,分かる
(a person) is in ...; stays at ...;,いる&nbsp;(る-verb)
about (approximate measurement),〜ぐらい
I'm sorry.,ごめんなさい
so; therefore,だから
many; a lot,たくさん
together with (a person),〜と
why,どうして
alone,一人で
game,ゲーム
flower,花
report, paper,レポート
restaurant,レストラン
and then,それから
right,右
left,左
front, in front of,前
behind,後ろ
inside,中
above, on,上
under,下
near,近い
next to,隣
between,間
sea,海
postal stamps,切手
ticket,切符
surfing,サーフィン
homework,宿題
food,食べ物
birthday,誕生日
test,テスト
weather,天気
drink,飲み物
bus,バス
postcard,葉書
airplane,飛行機
room,部屋
I (used by men),僕
holiday; day off; absence,休み
travel,旅行
new,新しい
hot (weather),暑い
hot (thing),熱い
busy (people / days),忙しい
large,大きい
interesting; funny,面白い
good-looking,かっこいい
