あの...,um...
今,now
英語,English (language)
ええ,yes
学生,student
〜語,language
高校,high school
午後,P.M.
午前,A.M.
〜歳,...years old
〜さん,Mr. / Ms. ...
〜時,o'clock
〜人,... people
専攻,major
先生,teacher
そうです,That's right
そうですか,I see. ; Is that so?
大学,college; university
電話,telephone
友達,friend
名前,name
何,what
日本,Japan
〜年生,... year student
はい,yes
半,half
番号,number
留学生,international student
私,I
アメリカ,America
イギリス,Britain
オーストラリア,Australia
韓国,Korea
スウェーデン,Sweden
中国,China
科学,science
アジア研究,Asian studies
経済,economics
国際関係,international relations
人類学,anthropology
政治,politics
ビジネス,business
文学,literature
歴史,history
仕事,job; work; occupation
医者,doctor
会社員,office worker
高校生,high school student
主婦,housewife
大学院生,graduate student
大学生,college student
弁護士,lawyer
お母さん,mother
お父さん,father
お姉さん,older sister
お兄さん,older brother
妹,younger sister
弟,younger brother
コンピューター,computer
工学,Engineering
生物学,Biology
看護師,nurse
家族,family
