秋,autumn / fall,,
駅,station,,
お金持ち,rich person,,
顔,face,,
季節,season,,
牛乳,milk,,
クレジットカード,credit card,,
ケーキ,cake,,
今年,this year,,
サッカー,soccer,,
シャツ,shirt,,
新幹線,"Shinkansen; ""Bullet Train""",,
寿司,sushi,,
生活,life; living,,
世界,world,,
地下鉄,subway,,
手袋,gloves,,
天ぷら,tempura,,
床屋,barber's,,
春,spring,,
パンツ,pants,,
美容院,beauty parlour,,
便,flight,,
船,ship; boat,,
野球,baseball,,
有名人,celebrity,,
予約,reservation,,
来学期,next semester,,
林檎,apple,,
暖かい,warm,,
遅い,slow; late,,
涼しい,cool (weather - not used for things),,
冷たい,cold (things / people),,
眠い,sleepy,,
簡単(な),easy; simple,,
かかる,to take (amount of time / money),,
泊まる,to stay (at a hotel  etc.),,
成る,to become,,
払う,to pay,,
決める,to decide,,
旅行する,to travel,,
練習する,to practice,,
歩いて,on foot,,
一番,best,,
〜か〜,or,,
〜か月,for ... months,,
〜後,in ... time; after ...,,
この頃,these days,,
〜週間,for ... weeks,,
〜で,by (means of transportation); with (a tool),,
どうやって,how; by what means,,
どちら,which; where (polite),,
どっち,which,,
どのぐらい,how much; how long,,
〜年,... years,,
早く/ 速く,(do something) early; fast,,
料理,cuisine,,
医者,doctor,,
年上,older,,
飛行機,airplane,,
ツアー,tour,,
動物園,zoo,,
ごろごろする,to stay at home and do nothing; chill out at home,,
