オーストラリア,Australia
お菓子（おかし）,Snacks; sweets
お正月（おしょうがつ）,New Year's
男の子（おとこのこ）,Boy
お祭り（おまつり）,Festival
おもちゃ,Toy
温泉（おんせん）,Spa; hot spring
女の子（おんなのこ）,Girl
外国（がいこく）,Foreign country
歌手（かしゅ）,Singer
川（かわ）,River
キャンプ,Camp
こちら,This person (polite)
今学期（こんがっき）,This semester
社長（しゃちょう）,President of a company
授業（じゅぎょう）,Class
将来（しょうらい）,Future
神社（じんじゃ）,Shrine
釣り(つり),Fishing
ドライブ,Drive
ビール,Beer
美術館（びじゅつかん）,Art museum
ホストファミリー,Host family
湖（みずうみ）,Lake
山 （やま）,Mountain
夢 （ゆめ）,Dream
ルームメート,Roommate
嘘を付く（うそをつく）,To tell a lie
お腹が空く（おなかがすく）,To become hungry
飼う（かう）,To own (a pet)
サボる,To cut class; skip
とる,To take (a class; get a grade)
習う（ならう）,To learn
登る（のぼる）,To climb
働く（はたらく）,To work
疲れる（つかれる）,To get tired
辞める（やめる）,To quit
喧嘩する（けんかする）,To have a fight; quarrel
紹介する（しょうかいする）,To introduce
ダイエットする,To go on a diet
遅刻する（ちこくする）,To be late (for an appointment)
留学する（りゅうがくする）,To study abroad
後（あと）,After (an event)
出身（しゅっしん）,Coming from
そして,And then
だけ,Just...; only
点（てん）,Points
久しぶり（ひさしぶり）,It has been a long time
まあまあ,Okay; so-so
もっと,More
作家（さっか）,Writer
ジャーナリスト,Journalist
警察さん（けいさつさん）,Police officer
俳優（はいゆう）,Actor; actress
宇宙飛行士（うちゅうひこうし）,Astronaut
野球選手（やきゅうせんしゅ）,Baseball player
大統領（だいとうりょう）,President of a country
女優（じょゆう）,Actress
看護士（かんごし）,Nurse
消防士（しょうぼうし）,Firefighter
漫画家（まんがか）,Cartoonist
