これ,this one
それ,that one
あれ,that one (over there)
どれ,which one
この,this ...
その,that ...
あの,that ... (over there)
どの,which ...
ここ,here
そこ,there
あそこ,over there
どこ,where
誰,who
美味しい,delicious
魚,fish
とんかつ,pork cutlet
肉,meat
メニュー,menu
野菜,vegetable
鉛筆,pencil
傘,umbrella
鞄,bag
靴,shoes
財布,wallet
ジーンズ,jeans
辞書,dictionary
自転車,bicycle
新聞,newspaper
Tシャツ,T-shirt
時計,watch; clock
ノート,notebook
ペン,pen
帽子,hat; cap
本,book
いくら,how much
〜円,... yen
高い,expensive; high
いらっしゃいませ,Welcome (to our store)
(〜を)お願いします,..., please
(〜を)ください,Please give me ...
じゃあ,then ...; if that is the case, ...
どうぞ,Please.; Here it is.
どうも,Thank you.
銀行,bank
図書館,library
郵便局,post office
