映画,movie
音楽,music
雑誌,magazine
スポーツ,sports
デート,date (romantic, not calendar)
テニス,tennis
テレビ,TV
アイスクリーム,ice cream
朝ご飯,breakfast
お酒,sake; alcohol
お茶,green tea
コーヒー,coffee
晩ご飯,dinner
ハンバーガー,hamburger
昼ご飯,lunch
水,water
家,home; house
うち,home; house; my place
学校,school
朝,morning
明日,tomorrow
いつ,when
今日,today
〜頃,at about ...
今晩,tonight
週末,weekend
土曜日,Saturday
日曜日,Sunday
毎日,every day
毎晩,every night
行く,to go
帰る,to go back; to return
聞く,to listen; to hear
飲む,to drink
話す,to speak; to talk
読む,to read
起きる,to get up
食べる,to eat
寝る,to sleep; to go to sleep
見る,to see; to look at; to watch
来る,to come
する,to do; to decide on (an item); to wear small items (necktie, watch, etc.)
勉強する,to study
良い,good
早い,early
あまり+negative,not much
全然+negative,not at all
大抵,usually
ちょっと,a little
時々,sometimes
よく,often; much
そうですね,That's right; Let me see.
でも,but
どうですか,How about ...?; How is ...?
