アルバイト,part time job,
買い物,shopping,
クラス,class,
あなた,you,
椅子,chair,
犬,dog,
お土産,souvenir,
子供,child,
ご飯,rice; meal,
写真,picture; photograph,
机,desk,
手紙,letter,
猫,cat,
パン,bread,
人,person,
メール,e-mail,
お寺,temple,
公園,park,
スーパー,supermarket,
デパート,department store,
バス停,bus stop,
病院,hospital,
ホテル,hotel,
本屋,bookstore,
町,town; city,
昨日,yesterday,
〜時間,... hours,
一時間,one hour,
先週,last week,
時,when ...; at the time of ...,
月曜日,Monday,
火曜日,Tuesday,
水曜日,Wednesday,
木曜日,Thursday,
金曜日,Friday,
会う,to meet; to see (a person),
ある,there is ...,
買う,to buy,
書く,to write,
撮る,to take (a picture),
待つ,to wait,
分かる,to understand,
いる&nbsp;(る-verb),(a person) is in ...; stays at ...;,
〜ぐらい,about (approximate measurement),
ごめんなさい,I'm sorry.,
だから,so; therefore,
たくさん,many; a lot,
〜と,together with (a person),
どうして,why,
一人で,alone,
ゲーム,game,
花,flower,
レポート,report,
レストラン,restaurant,
それから,and then,
右,right,
左,left,
前,front,
後ろ,behind,
中,inside,
上,above,
下,under,
近い,near,
隣,next to,
間,between,
