海,sea,,,
切手,postal stamps,,,
切符,ticket,,,
サーフィン,surfing,,,
宿題,homework,,,
食べ物,food,,,
誕生日,birthday,,,
テスト,test,,,
天気,weather,,,
飲み物,drink,,,
バス,bus,,,
葉書,postcard,,,
飛行機,airplane,,,
部屋,room,,,
僕,I (used by men),,,
休み,holiday; day off; absence,,,
旅行,travel,,,
新しい,new,,,
暑い,hot (weather),,,
熱い,hot (thing),,,
忙しい,busy (people / days),,,
大きい,large,,,
面白い,interesting; funny,,,
かっこいい,good-looking,,,
怖い,frightening,,,
寒い,cold (weather - not used for things),,,
楽しい,fun,,,
小さい,small,,,
つまらない,boring,,,
古い,old (thing - not used for people),,,
難しい,difficult,,,
優しい,easy (problem); kind (person),,,
安い,inexpensive; cheap (thing),,,
嫌い(な),disgusted with; to dislike,,,
綺麗(な),beautiful; clean,,,
元気(な),healthy; energetic,,,
静か(な),quiet,,,
好き(な),fond of; to like,,,
大嫌い(な),to hate,,,
大好き(な),very fond of; to love,,,
にぎやか(な),lively,,,
暇(な),not busy; to have a lot of free time,,,
泳ぐ,to swim,,,
乗る,to ride; to board,,,
やる,to do; to perform; to give (to pets,,,
出かける,to go out,,,
一緒に,together,,,
すごく,extremely,,,
それから,and then,,,
大丈夫,It's okay.; Not to worry.;,,,
とても,very,,,
どんな,what kind of ...,,,
〜枚,[counter for flat objects],,,
〜まで,to (a place); as far as (a place); till (a time),,,
果物,fruit,,,
聞く,ask,,,
