お風呂,bath
お金,money
漢字,kanji; Chinese character
教科書,textbook
今週,this week
CD (シーディー),CD
市民病院,municipal hospital
シャワー,shower
次,next
電気,electricity
電車,train
荷物,baggage
パソコン,personal computer
ページ,page
窓,window
夜,night
来週,next week
来年,next year
大変(な),tough (situation)
遊ぶ,to play; to spend time pleasantly
急ぐ,to hurry
お風呂に入る,to take a bath
返す,to return (a thing)
消す,to turn off; to erase
死ぬ,to die
座る,to sit down
立つ,to stand up
たばこを吸う,to smoke
使う,to use
手伝う,to help
入る,to enter
休む,to be absent (from ...); to rest
開ける,to open (something)
教える,to teach; to instruct
降りる,to get off
借りる,to borrow
閉める,to close (something)
シャワーを浴びる,to take a shower
つける,to turn on
電話をかける,to make a phone call
忘れる,to forget; to leave something behind
連れてくる,to bring (a person)
持ってくる,to bring (a thing)
後で,later on
遅く,(do something) late
〜から,because ... / from ...
結構です,That would be fine.; That wouldn't be necessary.
すぐ,right away
ゆっくり,slowly
本当ですか,Really?
