あさって,the day after tomorrow
雨,rain
カメラ,camera
カラオケ,karaoke
空気,air
今朝,this morning
黒板,blackboard
今月,this month
天気予報,weather forecast
所,place
トマト,tomato
夏,summer
何か,something
パーティー,party
バーベキュー,barbeque
はし,chopsticks
冬,winter
ホームステイ,homestay; living with a local family
毎週,every week
来月,next month
上手(な),skillful; good at ...
下手(な),clumsy; poor at ...
有名(な),famous
雨が降る,it rains
洗う,to wash
言う,to say
いる (う-verb),to need
遅くなる,to be late
思う,to think
切る,to cut
作る,to make
持っていく,to take (a thing)
じろじろ見る,to stare (at ... )
捨てる,to throw away
始める,to begin
運転する,to drive
洗濯する,to do laundry
掃除する,to clean
電話する,to call
料理する,to cook
いつも,always
ううん,uh-uh; no
うん,uh-huh; yes
乾杯,Cheers! (a toast)
残念(ですね),That's too bad.
〜について,about ... ; concerning ...
まだ+ negative,not ... yet
みんなで,all (of the people) together
