いい子,good child
色,colour
お弁当,boxed lunch
歌舞伎,Kabuki; traditional Japanese theatrical art
ギター,guitar
去年,last year
薬,medicine
薬を飲む,to take medicine
コンサート,concert
今度,near future
作文,essay; composition
試験,exam
スキー,ski
先月,last month
単語,word; vocabulary
ピアノ,piano
ピザ,pizza
病気,illness; sickness
青い,blue
赤い,red
黒い,black
寂しい,lonely
白い,white
若い,young
意地悪(な),mean-spirited
踊る,to dance
終わる,(something) ends
人気がある,to be popular
始まる,(something) begins
弾く,to play (a stringed instrument or piano)
もらう,to get (from somebody)
覚える,to memorize
出る,(1) to appear; to attend<div>(2) to exit</div>
運動する,to do physical exercise
散歩する,to take a walk
是非,by all means
ところで,by the way
皆,all
もう,already
一つ,one
二つ,two
三つ,three
四つ,four
五つ,five
六つ,six
七つ,seven
八つ,eight
九つ,nine
十,ten
手紙,letter
メール,email
チケット,ticket
そう,I think so
〜から,from (a place or time)
〜まで,to (a place or time)
